,Question,Answer
0,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,你好，公司为客户在售前、售中、售后提供全方位的服务。在不断提升公司技术优势的同时努力降低成本以锁定和开发更多的客户。
1,公司对同行竞争对手有怎样的考量？你们的成本、管理、市场等优势体现在哪些方面？,你好，竞争对手也是公司的老师，公司将在成本、管理等各个方面不断提高公司竞争力，谢谢！
2,请问公司以后每年会用什么形式回馈股东？,你好，公司会在努力经营，不断提高公司盈利能力的基础上，严格遵守并不低于公司在上市之初所做的分红承诺。谢谢！
3,你怎么看公司的业绩和公司的股价和市值的？,业绩怎样取决于公司管理，股价怎样取决于市场
4,如若公司股价在走下坡路的情况下，是否会推出高股价股权激励计划？,一个专业的投资者不可能问这么LOW的问题，我有心想说无奈我是有素质的管理者
5,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,2016年年度报告必定能满足您的需求和您的问题，谢谢！
6,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,2016年年度报告必定能满足您的需求和您的问题，谢谢！
7,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,2016年年度报告必定能满足您的需求和您的问题，谢谢！
8,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,"不断完善企业内控管理，创造效益，相信会提升公司的关注度，市场必有良好反应；
但定有部分闲人，无中生有。悠悠之口，岂能尽封，心中无愧，立足之本"
9,叔叔好，公司的主营业务是什么？什么时候上市？,您好，公司主要从事轨道吊、岸桥等沿海/内河港口及铁路集装箱装卸设备的研发、设计、生产、销售与安装业务。2014年12月，公司新增不锈钢业务。截止目前，公司已形成不锈钢现货贸易、钢铁电商平台、加工与仓储三个版块的全方位业务布局。公司已于2012年6月上市。
10,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,你好，公司将适时、适机的审慎开展对外扩张战略。今年公司将在巩固已有市场优势的基础上，进一步积极开拓沿海港口码头市场，包括一带一路上的沿线国家港口码头市场。谢谢！
11,业绩说明会本来应该是恳谈会，将企业目前的处境，面临的困难，预计的风险和相应应措施清晰告诉股东。,2016年年度报告必定能满足您的需求和您的问题，谢谢！
12,如果我想对贵公司长期投资，能给我一个长期持有的理由吗？,心有所想，如有所愿！
13,"国家要求实行经济节约型政策,公司具体是怎么做的?",你好，节约，自公司设立以来即在公司得以贯彻和执行，今后，公司仍将在生产经营中进一步的贯彻和落实厉行节约的优良传统，谢谢！
14,作为一家上市公司，为了更有利于与投资者交流，能不能在公司网站上设置交流互动功能？,公司与投资者建立了良好的沟通机制，有专人接听投资者电话，互动易平台问题也能及时回复，如您有任何咨询的问题和事件可以通过以上两种方式，我相信一定能让您得到满意舒心的交流，谢谢！
15,请描述一下公司未来的发展前景，谢谢！,你好，关于公司未来的发展前景已在2016年报中有所披露，请关注公司年报，谢谢！
16,对比大股东而言，中小投资者的合法权益有哪些特别之处？,中小投资者在资金、信息、公司管理者以及专业知识等方面与大股东相比均处于劣势，因此保护投资者，尤其是对中小投资者的保护，它不仅关系着资本市场的规范和发展，而且关系到整个经济的增长，中小投资者保护问题就具有更强的现实意义。谢谢！
17,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,你好，在公司所处行业有着许多的优秀公司，其中也包括上市公司，这使公司在竞争中也的确感受到了一定的压力，但公司不会被上述压力所累，这反而是公司发展和前进的动力，公司有信心在压力中茁壮成长，并做大做强。谢谢！
18,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,"2016年，国际国内经济形势错综复杂，经济下行压力仍然很大，公司所处行业竞争激烈，在公司管理层及全体员工的努力下，积极应对挑战，克服市场诸多不利因素的影响，持续推进新产品研发，产品结构不断优化，加强国内和国际市场的开拓，使公司的经营保持了稳定健康的发展。
2017年，公司将“稳增长”、“高端化”、“智能化”、“B2B”和“资本运作”列为公司长期发展战略的关键词。公司将继续保持 “稳 中求进”工作总基调，围绕核心竞争力提升，继续深化变革谋布局、凝聚动能调结构、瞄准市场抓机遇，持续提升经营效能， 推动企业更好更快、持续发展。 "
19,请问公司如何看待市值管理的？近期管理层新出的增发新规对公司以后资本运作有何影响？,你好，公司在做好经营的基础上，重视公司的市值管理。公司也将对相关的监管新规进行积极的学习和研究。
20,请问未来公司对稳定股价会做出哪些举措？,"做强主业，促进跨越发展；加强管控，协同发展；
以资本驱动为纽带，加快企业转型升级发展。 "
21,公司的前5名供应商是什么，与公司存不存在关联关系？,"截至2016年末的前五名供应商与公司不存在关联关系，详细情况请阅读公司2016年年度报告，谢谢！
 "
22,建议公司在做好业绩的同时也要积极邀请各家机构前来调研，让更多人关注。,谢谢您的建议，做大做强公司是首要职责，做好自己该做的事，业绩表现突出、令人满意，自然更多 人关注。
23,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,你好，感谢你对公司的长期投资，公司将会努力提升业绩以回报广大投资者。一季度业绩情况，请关注公司的相关公告。谢谢！
24,公司目前的股东结构是怎样的？是否有利于优化公司治理结构和企业长远发展？,你好，公司自上市以来并且在今后，将继续从公司长远发展出发，通过适当的方式、时机不断优化公司治理，力争将公司治理水平提升到一个新的水平。谢谢！
25,请问董事长，您和总经理名下有没有未注入上市公司的其他资产（公司）呢？,你好，建议查询公司已公布的2016年报，年报里有关于包括我本人投资的关联企业的介绍。谢谢！
