,Question,Answer
0,董事长回答得好！谢谢！祝愿公司在您的领导下众志成城，把三维人脸技术发挥尽致，给我们投资者带来丰厚利润。,感谢您的祝愿！
1,公司三维全脸照相机与市场上竞争对手具体有哪些优势？谢谢,感谢您的关注，目前据我公司了解，目前市场上还未见其他的高精度三维全脸照相机，我公司主要是在高精度这个特点上。
2,三维人脸识别技术和产品，重庆的云从科技进展迅速，请问贵公司的这项技术和云从科技的比较，有那些主要的相同和不同点？,谢谢关注。人像识别已经进入三维时代，三维人像识别的里程碑事件是苹果公司去年推出的iphonex，国内一批公司也开始进入三维人像识别。川大智胜是从2013年承担科技部国家重大仪器专项，开始研发高精度三维人脸照相机和三维人像识别软件。根据项目任务书的规定，我们开发的仪器深度精度是0.05毫米-0.1毫米，这是目前已知的国内外同类产品中精度最高的。因而其应用是瞄准高端应用的，特别是未来建立三维身份库的需要而开发的。目前，仪器开发任务已经基本实现，将在2018年底以前通过国家验收。
3,你们公司的四台模拟飞行培训学校，每年的生源（学生）多不多，能满员招收到学员吗？购回的第四部飞机安放在华东（上海），效果效益好吗？,公司的四台模拟机培训对象为航空公司的飞行员，每台基本都是满员培训。第四台效益对公司的业绩有贡献。
4,2017年业绩主要增长点在哪里？,2017年，公司的新业务虚拟现实和增强现实业务；人工智能中的基于半三维识别的高校学生宿舍刷脸门禁，铁路人、证、票自助查验通道等业务取得了收入，为公司的业绩增长有贡献。
5,请问早几年的军工大订单，你们有说转到(下一个）五年计划，还说了这是军工的“刚性需求”。请问该订单现在如何了，有没有取消？,感谢您的关注，我们并没有接到明确通知，该订单取消或者继续执行。
6,在安防这块，公司与竞争对手对比有什么优势呢？,谢谢关注。公司已经进入试验应用的高端三维人像识别门禁系统，有很强的防伪能力，能够识别用硅胶人皮面具的仿冒，将在重要机关、军队系统、军工系统应用。
7,请问公司第一季度预计盈利多少？公司运营越来越好，公司是否打算回购四川大学所持有的公司股份？,谢谢关注。公司1季报将在4.25日披露，到时候请关注。公司不会回购四川大学所持有的公司股份。
8,高精度三维人脸照相机和人脸自动识别产品收到的订单符合预期吗？,感谢您的关注，高精度三维人脸照相机和三维人脸识别产品，目前都处于试用状态，其他类型的人脸识别产品在2017陆续收到订单，将在2018年进一步市场推广。
9,请问毛利率还有提升空间吗？,公司业务目前大部分为投标项目，各项目之间的毛利率水平因竞争情况不同而有差别，公司近几年的毛利率保持在30%左右，后期是否有提升空间，主要取决于市场竞争情况。
10,贵司有哪些人工智能产品？,"感谢您的关注，目前公司将在2018年推广的人工智能产品主要有：
（1）基于半三维的高校学生宿舍刷脸门禁；
（2）铁路“人、证、票”自助查验通道；
（3）高端3D/3D门禁、高精度三维全脸照相机；
（4）空管指挥监控机器人。"
11,看到你们公司的人脸识别产品很受高端安防单位的重视，纷纷和你们联系。请问这些单位现在有没有开始签订购买合同？该产品在今年什么时间正式推向市场？,感谢您的关注，我公司面向高端安防需求的产品目前已经在部分单位进行试用，预计将于2018年陆续试用成功后正式推向市场。
12,愿公司一切安好.,谢谢您的祝福！
13,请问公司是否打算进军雄安新区建设，公司在人工智能的优势是否能为雄安智慧城市建设贡献力量。,谢谢关注。公司暂时没有这方面打算。
14,公司建立无人驾驶研究院，是独立运行，还是和汽车厂商，或百度等互联网企业合作，为什么进去这一行业，自身优势在哪里？,谢谢关注。公司针对自身的特点和技术积累，计划开发机场内部车辆的无人驾驶。这是无人驾驶中的一个比较小的细分领域，由于场景特殊，对川大智胜来说实现相对容易，对支持川大智胜这种规模较小的公司业绩发展有显著作用。
15,请问目前公司业绩受哪方面影响较大？,谢谢关注。目前公司的传统业务，因大部分都为招标项目，会受到客户招标进度的的影响。
16,请问贵公司2018年的业绩增长情况如何？公司面临的市场风险是什么？有无新的愿景和战略规划呢？,"感谢您的关注！
1、我公司已经在2017年年报中披露，预计2018年净利润增长55%。
2、公司2016年度报告中提到“经济形势恶化”风险已大大减弱；“人脸识别过度竞争”风险，因公司率先推出的高精度三维人脸照相机和三维人脸识别产品，在一个新的细分市场领域且抛开其他竞争对手，也避开了过度竞争风险；“虚拟现实过热”的风险，已在2017年散去，公司这种拥有核心技术又有成功的“To B”产品，及时将产品扩展了“To C”，将获得巨大市场。
3、公司的发展战略有以下5点：（1）公司从2011年开始实施的“二次创业”战略发展计划已到收获期，历时7年开发成熟或基本成熟的约15种市场需求大，技术门槛高，竞争优势突出的新产品将从2018年起投入市场。公司将集中全力完成开发的收尾工作，积极推进示范应用工程和市场推广工作。
（2）抓住技术领先机会，努力开发相关应用产品和市场，争取成为“三维人脸识别”的领军企业。
（3）公司VR产品从原有面向航空和空管单位的“To B”市场转向市场巨大的青少年高端航空训练市场。
（4）公司主要业务模式由原有的项目、产品模式进一步增加服务模式，特别是人工智能新产品采用服务模式推广。
（5）技术转让将成为公司新的盈利模式。"
17,请问老板对独角兽如何认识，公司有那么多技术储备，会不会与强者合作快速打开市场，成为一个新的独角兽呢？期待公司能更好的转型成功,谢谢关注。公司并不以成为独角兽为目标。
18,人脸识别和vr 技术发展不达预期主要是什么原因造成的呢？,谢谢关注。公司三维人脸识别和vr 技术都达到了国际先进、国内领先水平，但是产生重大效益还需要1-2年的时间，不知道您是对技术发展的预期还是对效益的预期。
19,预计公司今年VR和AR对青少年科普的高端训练产品将为公司带来的利润是多少？,从目前来看，预计公司今年VR和AR对青少年科普的高端训练产品将为公司带来的利润比上期有很大增长。
20,请问公司的主要合作客户分布在哪些行业？都有哪些知名的合作商？,公司目前业务收入较多的为航空及空管业务方面，其主要客户为各空管局。
21,公司的智能交通系统进入了哪些城市?,谢谢关注。主要在北京市、深圳市和成都市。
22,公司是否有区块链方面的技术储备和应用?,谢谢关注，目前公司还没有这方面的储备和应用。
23,公司在人工智能技术方面有哪些新的运用？,感谢您的关注，公司从事人工智能技术已有较长时间，原有的智能交通中的车牌识别产品也是人工智能技术的运用，目前，人工智能技术新的运用主要在三维人脸识别产品和空管指挥监控机器人中。
24,公司一季报业绩如何，看到贵公司18年业绩指标确实比较受鼓舞，但公司的商誉如何？如今股价一路走低，公司从曾经的明星一夜变贫农，自然公司的声誉应该也会受损，董事长的持股比例也很低，试问公司老板是否看好公司的未来？也看到您的努力增持，但那凤毛麟角的买单似乎更像是作秀，2018不知道公司老板会不会拿出更多的勇气维护公司的声誉与股价，更好的回报投资者。祝公司18年大展宏图,1季报公司将于4月25日披露，请到时关注。公司拓展业务主要靠开发高端自主创新产品，从开发到产生效益一般需要8-10年的时间，目前多数新产品开发已经完成，将在“十三五”期间发挥效益。
25,目前公司收到的政府补贴是多少？,2017年政府补贴收入为1046.63万元。
26,"在智慧城市业务方面,今年公司还会有哪些新的增长点?",谢谢关注。公司今年在人工智能业务方面的增长点主要是三维人像识别产品。
27,公司现在有没有引进战略投资者的动向，如和BAT合作使公司人脸识别等人工智能产品迅速进入全国市场？,谢谢关注，公司已经有引进战略投资者的意向，但具体是谁还未确定。
28,今年公司在航空与空管业务方面有研发出哪些新品？,感谢您的关注，公司2018年在航空与空管业务方面研发出的新品主要有空管指挥机器人和空管训练产品中的机器人机长，以及将2017年推出的新产品三坐标低空监视雷达、军民航空管管理系统、机场智能站坪塔台等进一步完善。
29,公司的通航产业发展缓慢，有什么应对措施吗？,"谢谢关注。全国的通航产业都发展缓慢，川大智胜主要做的是低空监视管理和服务，只能随着全国的通航产业
的发展而发展。
"
30,请简单说下公司的核心竞争力体现在哪些方面？公司的火车站验票系统，目前市面上有哪些竞争对手？公司产品有什么优势？,"1、2017年公司新开发的一批市场需求大，技术门槛高的新产品已经成熟或接近成熟，将从2018年起分批投入市场从，在航空和空管、虚拟现实和增强现实、人工智能三大领域内约12种市场需求大，技术门槛高，公司竞争优势突出的创新技术和产品开发，90%已经成熟或接近成熟，其中7种将在2018年内规模应用，它们是：三坐标低空监视雷达、面向青少年的高端飞行模拟机、高端3D/3D门禁、高精度三维全脸照相机、铁路人、证、票自助查验系统、高校宿舍刷脸门禁、空管指挥机器人。
2、公司火车站验票系统目前市面上也存在竞争。
3、公司产品在2015年末在成都东站投入试用，已经历3次春运近800万旅客通行的考验，是我国铁路最早最成功的基于人脸识别技术的示范工程之一。"
31,贵公司领导们：您们好！2017年报中您们提出2018年的净利润增幅不低于55%，彰显了公司的实力和底气，请问提出的目标的根据是啥？谢谢！,"谢谢您的关注。公司进入高速发展期的主要判断依据是：
（1）“十三.五”期间，公司在“航空和空管”，“虚拟现实和增强现实”，“人工智能”三大市场热捧领域将新推出已经成熟或基本成熟的新产品。（2）公司开发的高精度三维人脸传感器（照相机）深度精度指标已经远超竞争对手（苹果公司除外）。公司在三维人像识别领域的另一个优势是行业少有的既能自己在传感器领域创新争先，又能在识别算法和软件方面进行深层次创新。目前，公司在瞄准世界各国在公共安全领域最大的市场需求的同时也是最困难的难题“视频监控中人脸目标的自动搜索和跟踪”，从理论、算法到软件进行创新已经取得突破性进展，从建立包含真人全部识别信息的“三维数字人脸”入手，有效解决这一世界性难题。
（3）公司航空类“To B”的虚拟现实产品转向为青少年服务的“To C”产品，2018年起将为业绩增长做出重要贡献。
2011年公司公开增发项目之一“D级飞行模拟机视景系统”项目成果之一“管制员体验飞行模拟机”是国内唯一拥有自主知识产权且通过民航局鉴定的飞行模拟机。2017年，公司将该产品调整为面向青少年飞行体验并建设完成示范工程，已经取得较大成功，已有一批省市联系希望引进该服务项目，预计2018年内将为公司业绩增长做出重大贡献。
"
32,粤港澳大湾区政策的实施对公司来说是利好吗?,感谢您的关注，我公司在深圳设置有子公司，粤港澳大湾区政策的实施，对公司来说肯定是利好。
33,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",感谢您的祝福，我公司一直也是坚持持续的良性稳定发展，希望给投资者带来良好的回报。我公司对2018年的业绩有信心，在年报中我公司已经对2018年业绩增长做出预测，并且分析了推算的依据。感谢您的关注！
