,Question,Answer
0,公司的规模优势具体会体现在哪些方面？公司的品牌如何管理？互相间的市场是否有重合以及竞争关系？如何增强各品牌间的凝聚力？,"您好！公司始终坚持走专业化经营、产业化发展之路，专注于照明工程设计、照明工程施工和照明产品研发、生产、销售为一体的照明工程产业。
公司长期注重品牌建设，坚持以客户为中心，以工程质量为企业的生命。凭借一批有影响力的标志性精品工程的建设，公司赢得了良好的市场口碑和业界的认可，逐渐树立了“立足城市景观艺术传承人类照明科技”的品牌影响力。公司社会信用良好，先后荣获2012年、2013年、2016年“金手指奖”十大优秀照明设计工程公司、广东省“岭南杯”优秀装饰工程奖、第二届“广东省全国名牌-最具成长性企业”、“深圳知名品牌”、“南山区民营领军企业”、“深圳市优秀照明工程单位”、“2012年度广东省城市照明产品和设备优质服务单位”、“2015年度广东省守合同重信用企业”、“2016年度中国照明工程行业领军品牌”等荣誉。品牌优势使公司在业务发展中处于有利的竞争地位，尤其有利于公司承接大中型照明工程项目，以实施公司全国化战略。公司将通过不断努力，继续强化这一优势，打造我国照明工程行业的优秀品牌。谢谢！"
1,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,"2016年以及2017年1季度公司营业收入、净利润稳步增长，公司未来发展战略如下：
1、开展资本运作，加强融资筹划
公司将充分利用资本市场融资平台，加强融资筹划，开拓多种融资渠道和方式，积极推进非公开发行A股股票等相关工作。本次非公开发行募集资金投资项目围绕公司主营业务展开，本次募投项目实施完毕后，公司资金实力将不断增强，有利于提升承接大型工程项目的能力，盈利能力将得以提高，公司的资产规模、业务范围、资金实力、抗风险能力也将得到显著提高，公司发展前景更加广阔，总体现金流状况将得到进一步优化，为公司后续发展提供强有力保障，盈利能力也将得以加强。
2、丰富产业布局，拓展新的业绩增长点
公司将紧抓契机，进一步在照明工程业务及与之相关的照明工程设计、照明产品的研发、生产业务等领域深耕细作，同时，充分发挥上市公司的平台优势以及自身专业优势，积极探索行业内外可持续发展的新机会，通过投资、合资与收购、兼并等多种方式，实现公司从照明工程产业向与之相关的智慧城市、特色小镇、园林绿化等产业的横向延伸，实现外延式扩展和多元化发展战略，提升企业的规模和竞争实力，满足公司未来的持续发展。
3、引进和培养人才相结合，注重人才结构优化
为满足公司规模扩张、市场开拓等因素产生的高级人才需求，公司进一步加强管理团队建设，通过内部培养与外部引进两种方式建立业务队伍，一方面在公司内部发掘和培训有发展潜能的员工，建立、健全激励机制和人力资源培训体系；另一方面将招聘各类优秀专业人才，主要是照明工程设计、照明工程施工管理、照明产品研发生产等方面的人才。在人才结构方面，注重协调研发、营销、服务、技术、生产、管理等方面的人员比例，注意不同年龄结构配比，科学、合理配置和优化人才结构。建立有序的岗位竞争、激励、淘汰机制，增加岗位流通性，充分发挥员工的主观能动性，为员工提供职业发展的广阔空间与平台。
谢谢！"
2,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,"您好！
公司一直坚持“科技照明、绿色照明”的理念，形成了行业领先的技术优势。
①在照明工程设计领域，公司拥有行业最高等级《照明工程设计专项甲级》资质，掌握城市灯光环境整体规划设计技术、LED照明智能控制系统设计技术、城市道路照明对比手法设计技术、LED照明工程色彩设计技术、LED照明工程光影艺术设计技术；
②在照明工程施工领域，公司拥有行业最高等级《城市及道路照明工程专业承包壹级》资质，掌握LED照明产品安装技术、特殊环境施工技术、特殊主体施工技术、照明施工安全技术、照明施工环保技术；
③在照明产品研发生产领域，公司已经拥有的专利技术59项，其中发明专利3项，实用新型专利41项，外观设计专利15项，掌握LED照明产品恒流驱动控制技术、LED照明产品热管理技术、LED照明产品配光技术、LED照明产品防水技术、LED照明产品温控技术、LED照明产品设计技术等。谢谢。
"
3,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",您好！感谢您的关注，我们将努力做到更好以回报投资者！谢谢
4,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,"您好！
 公司在主要竞争对手包括北京利亚德、奥拓电子所收购的照明工程企业。公司是国内少数同时拥有《城市及道路照明工程专业承包壹级》资质和《照明工程设计专项甲级》资质的企业之一。经过十余年的发展与积累，公司在行业内形成了较高的市场知名度，获得协会、政府部门和客户授予的多项荣誉和奖项。
谢谢！"
5,你们有没有评估过自身在行业中处于什么地位？,"公司是国内少数同时拥有《城市及道路照明工程专业承包壹级》资质和《照明工程设计专项甲级》资质的企业之一。经过十余年的发展与积累，公司在行业内形成了较高的市场知名度，获得协会、政府部门和客户授予的多项荣誉和奖项。
谢谢！"
6,公司未来发展前景如何?对目前这个行业的前途看好吗？,您好！公司发展前景广阔，对照明工程行业充满信心，努力做到更好！谢谢
7,请站在独立董事的角度 评价一下这家公司。您的专业态度对我很重要！,公司上市以来规范运营良好，经营业绩增长明显，能切实维护好广大股东特别是中小股东的利益。谢谢。
8,公司是否具备承接大中型项目施工的能力？,您好！大中型项目施工能力是照明工程企业综合实力的体现，对企业的项目管理能力、技术水平、设计能力、人员储备、协调配合能力、资金实力等方面均有较高的要求。公司取得《城市及道路照明工程专业承包壹级》和《照明工程设计专项甲级》最高资质，拥有一支可以承接大中型照明施工项目的优秀专业人才团队，并在大中型项目施工管理方面积累了丰富经验，公司在国内大中型照明工程项目的市场竞争中占据了一定的优势。谢谢！
9,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,"公司始终坚持走专业化经营、产业化发展之路，通过多年努力，已经形成了集照明工程设计、照明工程施工和照明产品研发、生产、销售为一体的照明工程产业链，各项业务优势互补协调发展，既实现了公司的经营效益又提升了公司综合竞争力。
2016年，公司持续加大技术研发投入，在照明工程设计领域、施工领域、照明产品研发生产领域不断进行优化改进，在各领域原有技术的基础上进行拓展与延伸，以适应不同建筑载体和照明环境的需要，同时，公司积极拓展照明工程业务及与之相关的照明工程设计、照明产品的研发、生产、销售业务，实行区域化业务拓展及区域化工程管理制度，采取PPP、EPC、BT、EMC等多种业务模式，广泛开展业务合作，公司业务广泛分布于华东、华南、华北、华中、华南、西北等全国各区域，形成了良好的业务基础。
对城镇一体化带来大发展机遇，公司未来发展战略如下：
1、开展资本运作，加强融资筹划
公司将充分利用资本市场融资平台，加强融资筹划，开拓多种融资渠道和方式，积极推进非公开发行A股股票等相关工作。本次非公开发行募集资金投资项目围绕公司主营业务展开，本次募投项目实施完毕后，公司资金实力将不断增强，有利于提升承接大型工程项目的能力，盈利能力将得以提高，公司的资产规模、业务范围、资金实力、抗风险能力也将得到显著提高，公司发展前景更加广阔，总体现金流状况将得到进一步优化，为公司后续发展提供强有力保障，盈利能力也将得以加强。
2、丰富产业布局，拓展新的业绩增长点
公司将紧抓契机，进一步在照明工程业务及与之相关的照明工程设计、照明产品的研发、生产业务等领域深耕细作，同时，充分发挥上市公司的平台优势以及自身专业优势，积极探索行业内外可持续发展的新机会，通过投资、合资与收购、兼并等多种方式，实现公司从照明工程产业向与之相关的智慧城市、特色小镇、园林绿化等产业的横向延伸，实现外延式扩展和多元化发展战略，提升企业的规模和竞争实力，满足公司未来的持续发展。
3、引进和培养人才相结合，注重人才结构优化
为满足公司规模扩张、市场开拓等因素产生的高级人才需求，公司进一步加强管理团队建设，通过内部培养与外部引进两种方式建立业务队伍，一方面在公司内部发掘和培训有发展潜能的员工，建立、健全激励机制和人力资源培训体系；另一方面将招聘各类优秀专业人才，主要是照明工程设计、照明工程施工管理、照明产品研发生产等方面的人才。在人才结构方面，注重协调研发、营销、服务、技术、生产、管理等方面的人员比例，注意不同年龄结构配比，科学、合理配置和优化人才结构。建立有序的岗位竞争、激励、淘汰机制，增加岗位流通性，充分发挥员工的主观能动性，为员工提供职业发展的广阔空间与平台。
谢谢。
"
