,Question,Answer
0,近期中美贸易对公司有何影响？,您好，近期的中美贸易战对公司尚无实质性影响。
1,请问公司一季度业绩怎么样,您好，详细情况请查看公司披露的2018年第一季度报告。
2,公司的三元催化剂、新型防冻液、新型结构胶等新产品的市场占有率如何？,您好，上述三类新产品都在初步开拓市场，尚不具备统计意义。
3,2017年，公司研发投入7301万元，今年预计维持什么样的水平？,预计平稳增长。
4,2018年公司的目标市场具体有哪些？,在主机厂方面，公司会继续提升客户覆盖率及产品覆盖率，尤其专注于新能源汽车趋势下的业务升级及细分品类扩张。在汽车后市场业务方面，公司会专注于核心竞争力的打造，稳步推进供应链体系基础建设。
5,请问贵公司属于大湾区概念吗，有何安排,您好！粤港澳大湾区规划是国家的长期建设规划，尚无法直接影响公司业务，但我们相信，作为身在大区内的企业，此规划的发展使区域整体经济增长，公司也能从中受益。
6,请问贵公司有没有利用腾讯或者与阿里巴巴的互联网平台，与之合作的可能？,您好！目前暂时没有与其合作，不排除后续合作的可能。
7,报告期内公司有哪些新的专利或技术，可否详细介绍？,你好！公司目前拥有专利98项，其中发明专利26项，实用新型51项，计算机软件著作权12项，外观设计专利1项。主要是公司产品及其制备方法等相关专利。
8,广州巴孚实业有限公司和贵司是否存在关联或合作关系？巴孚在京东销售的汽油添加剂是否贵司生产？,您好，广州巴孚与我司存在合作关系，但其在网络平台上销售的巴孚汽油添加剂非我司代工生产。
9,请问？德联集团给新能源汽车公司如比亚迪、小鹏汽车、蔚来汽车等有业务合作吗？最近两年与新能源汽车公司业务增长率是多少呢？,比亚迪与公司已合作多年，业务往来涉及了防冻液、制动液、齿轮油和三元催化等多个产品，而近两年我司也对小鹏汽车、蔚来汽车等新兴整车厂实现产品定点；某几家重点整车厂新能源车业务量实现了成倍增长，但因新能源汽车相关业务因前期基数较低且实际发生量还不大，因此增长率还不具备统计意义。
10,武汉德联、青岛德联计划何时投产？届时产能将增加多少？谢谢！,目前，青岛和武汉的筹建工作进展符合预期。产能设计主要考虑了未来后市场业务发展的加速以及主机厂配套业务的多元化需求。具体产能规划数据及说明请参考后续相关公告。
11,报告期内，公司汽车后市场业务相比上年实现了翻倍增长，这一业务领域有哪些核心竞争力？,您好，后市场核心竞争力主要来源于两个层面。其一，是多年来与主机厂的合作带来的品牌、质量、平台等优势。其次，德联车护在后市场的渠道及配套能力优势也是构建车后业务竞争壁垒的关键。
12,请问，以前是少量供货，何时山能能正式签署合同给特斯拉供货?,您好！签订供货合同的核心因素在于特斯拉国产化的推进程度。
13,公司在汽车精细化学品业务领域、汽车售后市场业务领域各有怎样的技术研发优势？,"针对汽车前装市场以及汽车后市场，公司一方面着重强化与国外有技术优势的大公司拓展战略合作关系；另一方面不断加强自主研发力度，确保自身品牌产品在市场上的优势。集团及各子公司拥有业内领先的国家级研发中心。2017年报告期内，公司继续加大知识产权方面的开发力度，至2017年年底，成功注册的有效商标有51个，初审公告期内商标有7个。拥有专利98项，其中发明专利26项(8项受审中)，实用新型51项(16项受审中)，计算机软件著作权12项，外观设计专利1项。
我们始终强调领先研发和率先掌握汽车精细化工领域相关产品的核心技术的重要性。未来，公司更将充分利用资本市场工具，积极调研考察汽车领域相关的技术应用及突破，利用收购、并购等手段拓展德联经营范围及技术协同效应，持续增强市场竞争实力。"
14,请问到4月底公司股东人数是多少人？机构户数是多少？,您好！具体请以已公开披露的数据为准。谢谢！
15,请问，截止17年底公司车护自营店多少家，加盟店多少家？,您好，截止17年底公司车护直营旗舰店目前为2家，签约合作门店约为11000家，详细情况可查看公司年报相关内容。
16,公司坚持汽车厂业务+汽车后市场双主营的整体发展战略，是否遇到阻力？,从行业竞争角度，德联集团撬动现有品牌优势、客户优势、经营管理等优势，重点开拓布局后市场业务的战略方针是符合市场发展规律及需求的。挑战是一定有的，但随着战略的坚决执行，相信我司的竞争力将体现得愈发明显。
17,公司现金流为负值是什么原因造成？,您好，主要是销售增加导致采购增长，但销售回款减慢所致。
18,请介绍贵公司2017年汽车主机厂业务总况？,2017中国汽车产销增速略低于年初增长5%的预期，同比2016年分别增长3.2%和3%，行业整体增长略低于预期。但德联的业绩增幅显著高于行业平均增幅，在2017年最终实现了营收31.45亿元，同比增长高达32.68%，呈现良好的上升趋势。
19,公开资料显示公司与新能源汽车公司比亚迪、小鹏汽车、蔚来汽车均有业务合作，可否详细介绍一下？,比亚迪与公司已合作多年，业务往来涉及了防冻液、制动液、齿轮油和三元催化等多个产品，而小鹏汽车、蔚来汽车等新兴整车厂方面，我司目前已实现小批量供应，后续业务放量及产品的多元化渗透还有赖于相关车企的发展。
20,2017年归属于母公司所有者的净利润为1.54亿元，较上年同期增9.38%，主要原因？,您好，利润上升主要是公司整体营收相对去年上涨超过30%。
