,Question,Answer
0,严叔叔好，哈哈，介绍一哈你们公司滴业务,投资者您好！本公司自成立以来一直坚持打造中国皮革化学品的自主品牌，致力于皮革化学品的研发、生产和销售业务。公司多年在皮革化学品市场精耕细作，专注于为客户提供满足不同类型制革需求的产品。公司目前已在四川和上海建立了专业化的生产及研发基地，凭借以市场为导向和前瞻式的研发模式，打造了全系列多层次的产品体系，目前已形成了包括清洁制革材料、皮革功能助剂、涂饰材料和着色剂等4大类17小类200余个种类产品的生产能力，产品覆盖了皮革生产的全过程，是目前国内皮革化学品品种、系列最齐全的公司之一。谢谢！
1,请问公司的分配预案达到承诺的分红比例吗？,投资者您好！公司2016年度利润分配预案是严格按照《关于进一步落实上市公司现金分红有关事项的通知》、《上市公司监管指引第3号——上市公司现金分红》等规范性文件及《公司章程》、《未来三年分红回报规划》的相关规定进行的。
2,公司的前5大客户是哪些？,"
投资者您好！公司前5名客户请详见公司于2017年4月7日披露于创业板指定的信息披露网站巨潮网上的2016年年度报告。谢谢！"
3,公司的前5名供应商是什么，与公司存不存在关联关系？,"
投资者您好！公司前5名供应商请详见公司于2017年4月7日披露于创业板指定的信息披露网站巨潮网上的2016年年度报告，公司与前5名供应商不存在关联关系。谢谢！"
4,公司去年主打产品的销量是多少？,"
尊敬的投资者，您好！依据我公司2016年年度报告，我公司皮革化学品制造业实现销售收入金额285,870,067.35元，销售量21,809.02吨。谢谢。"
5,对比大股东而言，中小投资者的合法权益有哪些特别之处？,尊敬的投资者，您好！公司一直不断的完善治理，在机制上保证股东特别是中小股东公开、公平、公正的享有各项权益；目前公司已健全了中小投资者投票机制，完善中小投资者投票等机制；公司股东大会全面采用网络投票方式；积极推行累积投票制选举董事、监事；上市公司不得对征集投票权提出最低持股比例限制；完善上市公司股东大会投票表决第三方见证制度；研究完善中小投资者提出罢免公司董事提案的制度等，有效保障了中小投资者的利益；同时，公司认真履行信息披露义务，确保信息披露的真实、准确、及时、完整和公平，不存在选择性信息披露或提前透露非公开信息的情形；加强投资者关系管理工作，通过网络、电话、邮件等多方位的沟通渠道，为投资者营造了一个良好的互动平台等更多的措施保证中小投资者的合法权益。谢谢！
6,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,投资者，您好！公司在深耕主业的同时，将立足皮革化学品主业，积极寻求与公司主业相关，具有协同效应的项目，开展包括股权在内的深度合作，进一步推动资源整合，实现内涵式与外延式的共同发展。对外投资方面的具体计划，请以公司公告为准。谢谢！  
7,公司是否会计划多元化发展？,投资者，您好！公司在深耕主业的同时，将立足皮革化学品主业，积极寻求与公司主业相关，具有协同效应的项目，开展包括股权在内的深度合作，进一步推动资源整合，实现内涵式与外延式的共同发展。对外投资方面的具体计划，请以公司公告为准。谢谢！  
8,请问董事长，您名下有没有未注入上市公司的其他资产（公司）呢？,投资者您好！我个人未注入上市公司的资产，详细情况可以参见招股说明书之关联交易章节，谢谢！
9,请问开完股东会后，如果送股通过几日内会送股？,投资者您好！公司2016年度利润分配预案已于2017年04月07日披露在创业板指定的信息披露网站巨潮网上，敬请关注。2016年度利润分配方案将在公司2016年度股东大会审议通过之日起2个月内实施。谢谢！
