,Question,Answer
0,摩恩电气、长高集团、天马精化和松芝股份于2010年7月20日挂牌上市，介绍一下公司的主营业务,"您好，公司目前的经营范围是：生产、销售1100KV及以下高压开关等高压电器及高低压成套电器与配电箱；凭本企业资质从事电力工程施工（不含电力设施的承装、承修、承试）；销售机电产品；电气产业投资；房地产及物业管理投资；市场营销策划服务；新能源汽车零配件制造；新能源汽车充电桩和汽车充电设备的建设、运营及技术服务、研发、销售；各类商品及技术的进出口业务（国家限制和禁止项目除外）。
公司目前的主营业务包括：输变电设备、电力能源设计、服务与总包、新能源汽车、房产、耐磨材料等"
1,请问公司的企业文化是什么？请介绍公司的企业文化建设情况？,您好，公司的企业文化精神是：创新永动，发展图兴；企业理念是创造价值，才有价值。
2,请问公司海外业务订单是通过什么渠道获取的？业主是直接付款给公司还是通过中资银行贷款转付给公司？,您好，公司成立了长高国际工程技术公司，在海外设立了办事处。付款方式不同项目采用不同的方式付款。
3,请问收购湖北华网后，公司业务在哪些方面得到了加强？公司未来是否会加大对电力工程总包方向的业务拓展？,您好，湖北省华网电力工程有限公司具备电力行业（送电工程、变电工程）工程设计、总承包甲级，电力行业（新能源发电）工程设计、总承包乙级资质，成功并购湖北省华网电力工程有限公司，增加电力工程规划设计业务板块，完善电力行业全产业链，大大提升了公司对外承接新能源电力工程服务业务的能力，有助于提升公司品牌的影响力，扩充公司工程服务的业务领域和覆盖面。
4,有些上市公司在信息披露方面做不好，还经常披露虚假信息欺骗投资者，希望贵公司在这方面能做的尽可能规范！,您好，谢谢您的建议，公司从上市至今一直严格按照相关法律法规和规范性文件的规定和要求严格履行信息披露义务，公司也将继续依法依规继续履行信息披露义务。
5,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,公司致力于成为集规划设计、新能源发电、输变电设备制造、电力工程服务、售电配电及运营等全产业链的电力能源综合服务商。通过全面“做优做实”输变电设备板块，为集团的全面发展奠定基石；将工程服务板块迅速成长为公司下一步发展规模和业绩的中坚力量；积极参与电改，推进售配电业务；加快国际工程公司的组建，加快海外业务布局。同时通过自主开发新能源汽车专用部件，投资收购相关制造企业等方式逐步形成在新能源汽车高压配件的全面布局，通过组建新能源汽车运营、充电桩运营的子公司，深入新能源汽车服务领域。
6,去年公司经营遇到的最大困难是什么?今年有望改善吗？,"您好，公司传统输变电设备制造行业更面临着整体电力需求增速放缓，投资缩减等严峻的政策及投资环境。
今年的情况依旧取决于国家的投资政策。"
7,请问公司是品牌为先还是品质为先？谢谢！,品质成就品牌。
8,能不介绍一下公司现在各大区域的销售和占有率等基本情况?,您好，公司产品分地区的情况请您查看公司2016年度报告第四节经营情况讨论与分析。
9,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,"您好，从长期看，公司市值体现公司价值，但二级市场受政策、大盘等多种因素影响较大，所以还请您谨慎投资。
公司也非常重视公司股价在二级市场的表现，希望通过不断努力提升公司业绩来提升公司价值。也谢谢您的建议。"
