,Question,Answer
0,"张总，您好
公司2017年和2018年一季度业绩大幅上升，2017年报又推出优厚的分配方案，但股价一直维持在6.50左右，请问公司股价是否低估了公司的价值",公司一季度预计盈利3300-3600万，推算预计市盈率30倍左右。谢谢关注。
1,网络游戏及互联网服务板块是否已经给公司贡献利润了？预计今年会有哪些发展？,2017年12月，公司已将麟游互动纳入公司合并范围，麟游互动当年给公司贡献利润412万元。2018年，麟游互动运行良好，将成为公司一个利润增长点。谢谢关注
2,印刷设备的毛利率比较低，还有进一步提升的空间吗？,公司印刷设备产品毛利率在同行业中处于较高水平，谢谢关注。
3,"张总下午好！
公司成立了华能装备制造有限公司，经营范围：铸造机械、煤机、建材机械、工业机器人等，是否将公司的原有上述业务并入华能公司呢？还是基于其他架构重整之考量？谢谢！","2017年报中披露：公司为适应传统业务与新兴业务双主业发展的多元化经营战略，理顺业务模块，提升管理效率，公司拟新投资设立全资子公司，对其他子公司业务进行产业整合，并逐步将公司现有业务模块在母子公司间进行适当的优化调整，在不影响业务正常开展的前提下，将公司现有的煤机生产、煤炭销售和采煤服务等业务逐步转移至子公司。期间，对于短期内不能有良好业绩表现的业务，及时处置，保障公司健康发展。
所以在申请成立矿机华能公司时，将母公司经营范围一并申报了。"
4,公司高管没有增持股票的意向那么有没有减持股票的意向呢？,公司高管暂时没有减持股票的意向，谢谢关注。
5,贵公司年报中提到的，设立子公司来对其他子公司业务进行整合，意思是否为将上市公司中盈利能力较差的资产剥离，留下盈利能力好的资产？,公司设立全资子公司，主要目的是为适应传统业务与新兴业务双主业发展的多元化经营战略，理顺业务模块，提升管理效率。当然，对于短期内不能有良好业绩表现的业务，及时处置，也是为保障公司健康发展。谢谢关注
6,公司目前有3亿闲散资金做理财产品，公司有没有计划利用这笔资金收购或者扩大，前景比较好的资产进行投资呢？,公司披露的 3亿理财资金为理财资金额度，并非公司现在的理财资金，公司下一步将用此资金优先用于提高产能，但不排除收购扩大的可能，谢谢关注。
7,贵公司判断18年下半年，煤炭行业会有哪些调整？又有哪些应对措施？,根据煤炭行业现状，我们估计2018年煤炭行业不会出现较大幅度调整。谢谢关注
8,麟游互动的营收结构是怎样的？自主运营的游戏收入是多少？代理游戏或其它游戏收入又是多少？近年分别增长多少？,麟游互动为游戏发行公司，按照类型分为独代游戏和联运游戏。其中2017年独代游戏占比为8%左右。2016年基本无独代游戏。谢谢关注
9,麟游互动的主力游戏大多都是已经运营几年了，而游戏的生命周期一般都不长，这么算的话，花巨资买入这有公司是否划算？,麟游互动是一家盈利能力强，可持续发展的公司，麟游互动将不断推出新的游戏，敬请关注。
10,2017年度航空发动机和3D打印是否已经实现销售收入？这二项实现了多少销售收入？,您好，2017年公司航空发动机和激光3D打印共实现销售收入240.35万元，谢谢关注。
11,赵董好，1、无人机项目前景光明，有没有引进例如大疆这样的战略投资者的想法？2、麟游互动收购已经半年左右，为何网站还是没有更新，游戏宣传也不到位，市场占有率和竞争力有限，按道理说，借用上市公司的平台应该越来越好的，是不是有点力不从心还是有其他原因？,"1、公司无人机项目暂时没有引进投资者的计划。
2、麟游互动属于游戏类公司，公司网站主要是传统产业，对麟游互动推广意义不大。麟游互动现运行正常，将成为公司2018年的利润增长点。谢谢关注"
12,公司会不会扩大无人机产业逐渐放弃煤炭产业啊彻底转型,煤机、煤炭服务是我公司现在的主营业务，今后一段时间内将继续作为公司的主营业务运营，谢谢关注！
13,公司的自动化生产率有多高？,与同行业相比较，公司自动化生产率较高。谢谢关注
14,"赵董，您好
请问公司航空发动机进展，现已应用在哪些领域？公司是否已取得军工执照？",您好，公司航空发动机项目正在积极推动中，目前未取得军工执照，谢谢关注。
15,赵董，您好 请问公司航空发动机进展，现已应用在哪些领域？公司是否已取得军工执照？,公司航空发动机项目正在积极推进中，目前未取得军工执照。
16,公司以是双轨经营，请问怎样才能平衡和保证2个团队长期正常发展,对于双主业发展，公司按照业务板块类别以子公司管理模式分别管理旗下不同主营业务，采用不同的激励措施和管理理念，保障公司健康持续发展。谢谢关注
17,集团2017年将所有能够实现收入的领域均从上市公司中剔除，目前均由母公司直接控股，基于什么方面的考虑？,我公司未出现您所说的情况，谢谢关注！
18,连续多年，公司的研发费用均投入不少，能够详细说明研发在哪些领域吗？,公司研发费用主要用于煤炭机械和包装机械。谢谢关注
19,若剔除麟游互动合并报表的影响，贵公司17年的营收和净利润分别是多少？,麟游互动于2017年12月份纳入公司合并范围，营业收入2537万元，净利润412万元，对公司整体业绩影响较小，谢谢关注！
20,2017年年报中，预收账款有1.2亿元多，基本占主营10%左右，能够详细说明是哪些细项产品吗,主要是煤炭机械的预付款。谢谢关注
21,公司2017年公告要10送7股，这次配送完了股本是不是有点大啊，企业盈利能力能支持这么大的股本扩张吗？,公司2017年资本公积转增资本，将增加公司股本，增强公司影响力，谢谢关注！
22,煤炭价格如何影响公司设备的销售？,煤炭价格高，煤炭企业盈利，煤炭企业将会扩大生产规模或者有资金提高煤炭开采的机械化水平，就会购买煤炭设备。谢谢关注
23,公司2017年营收中，其他类主要涵盖哪些范围？,公司2017年的营收中，其他类主要为原材料销售收入和公司租赁业务收入，谢谢关注
