,Question,Answer
0,在企业文化方面，公司有什么特色吗？,公司制定了21字方针：团结一致，勤奋努力，二次创业，实现公司发展新阶段。企业文化是大公司的重要文化建设，我们一直在通过构建积极向上的正能量企业文化来构建公司凝聚力。谢谢
1,您好，刚才打错字了，安居宝，天立环保，恒泰艾普，振东制药和新研股份于2011年1月7日在创业板挂牌上市,谢谢关注！
2,"国家要求实行经济节约型政策,公司具体是怎么做的?",您好，公司在传统业务发展的同时也注重优美环境、绿色服务，2016年环保工程业务已现雏形，为公司未来在环保业务领域的发展打下坚实的基础。谢谢！
3,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,您好。公司安排专人定期及时回复深交所互动易问题，公司高层一直关注问题的回复。谢谢。
4,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,您好，公司通过构建全产业链综合性国际型能源服务集团的战略思路，以为全体股东创造价值为核心目的，通过实现公司价值推动市值管理。谢谢。
5,您好，公司目前的石油业务主要包括哪些部分？谢谢叔叔,"您好，公司目前石油业务主要包括：综合能源开发的大型现代高科技地球物理及地质软件研发、销售、技术服务和云计算大数据等的研发服务业务；EPC工程设计、施工建设一体化的技术服务；核心精密仪器和高端装备制造业务。公司业已成为高科技、集团化的综合能源服务商。谢谢！
"
6,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,谢谢你的建议！
7,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,您好，过去三年，石油能源行业经历了价格大幅波动，行业内公司都经历了阵痛，恒泰艾普经过业务布局打造成全产业链综合性国际型能源服务集团，公司依托核心技术取得了先发的的优势。谢谢。
8,杨叔叔好，公司和安居宝，天立环保，振动制药和新研股份于2011年1月7日在创业板上市,是的，谢谢关注！
9,请站在独立董事的角度评价一下这家公司。您的专业态度对我很重要！,我认为该集团公司财务管理规范，信息披露透明，业务布局合理，目前处于投入期，未来发展前景可期。谢谢！
10,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,您好，公司过去的几年产品销售收入保持稳定持续增长。预计今年销售收入依然保持这一趋势。公司有明确的未来规划。谢谢。
11,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,"您好，
有关投资的事项，涉及到公司很多程序，包括合规性要求。资本市场的发展，也是公司业务发展的一个重要方向。具体的事件要根据具体时间和事项来讨论。
谢谢！"
12,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,"您好，
第一个问题，有；
第二个问题，有的，我们有很详细且周密的计划。
第三个问题，不方便透露，请关注后续公告进展。如果您是公司股东，也欢迎参加公司股东大会，现场交流。
谢谢！"
13,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,"您好，
第一个问题，公司今年有新投资的项目吗？有。
第二个问题，当年能否为公司贡献利润？能。
第三个问题，如有利润贡献，公司预计能实现多少利润？不能说。
谢谢您的关注！"
14,公司是否会考虑开拓新的领域？,"您好，
公司专门成立了新业务发展部。新领域的开拓和发展是公司既定的方针。
谢谢。"
15,请描述一下公司未来的发展前景，谢谢！,"您好，
恒泰艾普集团是一家高科技，集团化发展的综合能源服务企业集团。未来中国的能源需求将在一个时期内以石油和天然气为主要能源。基于这样一个基本判断，尤其是中国环境保护和环境治理力度的进一步加强，天然气的应用将会呈现出空前的增长。基于这样一个现实，以石油天然气为主要能源，水利、电力、煤电力，核电力为主要构成，太阳能和风能作为新型能源补充，从而构成了中国能源的综合解决方案。基于这些，恒泰艾普集团未来几年的发展应该是快速、健康和良性的。
谢谢！"
16,公司生产经营的季节性如何?哪个季节是旺季?,您好，按石油行业特点，公司生产经营一季度是淡季，结算主要发生在下半年。谢谢！
17,请介绍一下公司所处行业和主要产品？,"您好，
请关注公司2016年年报，这样介绍更全面，如果我们来介绍，等于重复一遍年报内容。
谢谢关注！"
18,截至目前，公司的同比销售额有增长吗？,感谢您对公司的关注。截至目前，公司的销售额同期对比情况请关注公司即将披露的一季度报告。谢谢！
19,请问公司的分配预案达到承诺的分红比例吗？,公司一直严格按照相关法律法规及公司章程的相关规定执行利润分配方案。谢谢。
20,公司截至目前为止都有哪些子公司和参股公司？,公司截至目前的子公司名单请参考2016年度报告P178-P180列表。参股公司名单请参考2016年度报告P182列表。谢谢！
21,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,"您好，
这个问题是公司一直在考虑的问题。公司对管理层的激励方案一直有，只是选择比较合适的实施时间点。一旦有合适的实施时间点，会及时公告。请关注公司相关对外披露信息。
谢谢。"
22,公司的前5名供应商是什么，与公司存不存在关联关系？,公司的前5名供应商信息请参考2016年度报告P43，与公司均不存在关联关系。谢谢！
23,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,"您好，
公司目前的研发部门分别集中在以下几个方面：1、有关高端装备部分分别是廊坊新赛浦的特种装备研发部门，新锦化机械的汽轮机和压缩机研发部门，奥华电子的中子发生器为核心的研发部门；2、工程板块中主要包括西油联合的地热技术，干热岩技术，非常规油气工程作业技术，还包括，川油设计的天然气综合利用业务，分布式能源业务等；3、有关地质和地球物理的技术，分别是研究院公司的大型地震资料处理技术，特别是速度建模和深度偏移技术，特雷西公司的油藏数模和地质建模技术，尤其是在非常规油气和煤层气、页岩油气等领域的建模和数模以及核心算法方面；4、在大数据、云计算和虚拟现实技术上，也在云公司为抓手的研发上有许多重大突破。
谢谢。"
24,除了在巨潮网上查看公司公告，还可以在哪里了解公司的日常经营情况？,您好，您还可以通过比如证监会指定媒体证券时报、证券时报网、公司网站、互动易等平台了解公司日常经营情况。谢谢。
25,公司在税收方面有没有相关的优惠政策？具体税率是多少？,"公司为北京市科学技术委员会、北京市财政局、北京市国家税务局、北京市地方税务局联合审核认定的高新技术企业，报告期内公司适用15%的企业所得税税率；公司自行开发生产的软件产品，按17%税率征收增值税后，对实际税负超过3%的部分享受即征即退政策；公司从事技术转让、技术开发业务和与之相关的技术咨询、技术服务业务取得的收入，符合条件的免征增值税。谢谢您对公司的关注！
"
26,能简单的介绍下新项目的情况吗？,"您好，
公司的新项目很多。具体分别表现在五个业务板块中。简单而言，在工程技术方面，就有常规油气的和非常规油气的，还有地热与EPC的，所以不知道您想了解哪一个新项目。再比如说，公司的贸易金融业务订单，数量多、金额大，呈现出快速发展事态。所以不知道您具体指哪个方面，只能回答这么多。"
27,公司产品的技术含量如何？专利多吗？,"您好，
恒泰艾普集团的知识产权主要分两个方面，一是著作权，二是专利权。在著作权方面，我们有很多软件技术和算法技术，都是世界领先水平。比如说，EPOffice这样的勘探开发一体化软件平台；DPSeis是大型处理软件中的速度建模和深度偏移功能，属于国际先进水平；比如地质建模、油藏建模中的网格技术，远远领先于世界同行业技术水平。具体到专利技术，本公司的专利主要以发明专利为主，有一些外观和实用新型专利，具体数据请参阅公司2016年年报中，有关研发与知识产权章节。
谢谢。"
28,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,公司预计2017年销售收入有较大增长，为股东创造价值是公司的核心目的，谢谢。
29,公司未来3年发展前景如何?,"您好，
公司自上市以来，一直着重于围绕战略布局，夯实各个业务板块，为公司持续的发展奠定了坚实的基础。我们深信，公司未来几年的发展一定是健康和快速的，公司的经营风格，也是稳健和重实效的。我们是价值投资者的实现平台。
谢谢。"
30,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,"从上市以来，公司的发展战略一直坚持“加粗、加长、加宽”的三加战略；具体来讲就是利用“三个市场”国内、国际和资本，建设“三种能力”，从而形成公司各个业务板块的做强和做大。这些具体的业务板块，请您参阅公司2016年年度报告，其中有详细描述。
公司所有战略布局都是与公司主营业务保持一致的。"
31,请问公司2017年业绩新增长点在什么地方，目前公司与数据业务进展状况？,"您好，
2017年的业绩增长点在五个方面：
第一是高端装备制造方面，主要以奥华电子与新锦化机械为重点。第二是工程技术方面，主要以川油设计和西油联合为抓手；第三是传统地质研究和软件技术服务，随着能源形势的转好，也在重新焕发新生；第四、五是公司的大数据，云计算，金融贸易等新业务板块，这些业务正呈现出迅猛的增长态势，在手订单数额巨大。
云数据业务进展非常好，优于预期。
感谢您的关注！"
