,Question,Answer
0,公司如何拓展体育旅游多元化发展？,您好，请参阅类似问题的回复。谢谢！
1,公司在海外市场业务拓展情况如何？,您好，公司目前未有直接参与海外业务。谢谢！
2,公司是否有比较长远的发展计划？,"您好，公司制定了多元化发展的计划。2016年，公司与越野一族（北京）投资管理有限公司等合资成立越野一族体育赛事（北京）有限公司，增加了体育赛事业务。2017年，公司设立全资子公司阿拉善盟梦想汽车文化旅游开发有限公司，开展与体育赛事相关的文化旅游业务。谢谢！
"
3,请问王总，贵公司的全资子公司梦想汽车旅游开发公司在阿拉善沙漠固定资产投资增长很快，请问贵公司现金流有没有风险？,目前公司生产经营一切正常。谢谢您的关注！
4,近期有无机构去公司调研？,您好，公司暂未接到投资机构来调研的信息。谢谢！
5,请问王总，贵公司梦想文旅去年的利润主要来自哪里？,梦想文旅去年利润主要来源于阿拉善英雄会中的会展服务、场地租赁、酒店销售等营业收入。谢谢您的关注！
6,目前公司面临的重大问题有哪些？,您好，公司目前一季度业绩受到季节性影响较大，二季度会有好转。谢谢！
7,公司高管持股详细情况如何？,您好，公司高管持股变动情况，公司会按照规定进行披露，请您关注公司相关公告。谢谢！
8,公司目前利润如何?,请参阅公司《2018年一季度报告全文》，谢谢您的关注！
9,目前公司有哪些并购项目？进展情况如何？,您好，目前公司未有新的并购项目，请您关注后续公司公告。谢谢！
10,请问贵公司17年阿拉善英雄会中，梦想文旅的主要营业收入有哪些？,2017年阿拉善英雄会中，梦想文旅的主要营业收入为会展服务、场地租赁、酒店销售等收入。谢谢您的关注！
11,目前公司业绩受哪方面影响较大？,您好，公司管道业务与体育赛事业务受到季节性影响比较大，一季度业绩会受到影响。谢谢！
12,公司今年是否有重组计划？,您好，公司的重大资产重组正在进行，请您关注公司相关公告。谢谢！
13,公司目前主营业务是什么？,您好，请您参阅公司《2017年年度报告摘要》中“报告期主要业务或产品简介”的相关内容。谢谢！
14,公司十大股东中近期有无减持计划？,您好，截至目前，公司尚未新接到股东的减持计划。谢谢！
15,阿拉善沙漠梦想汽车航空乐园项目运营情况如何？,您好，该项目运营情况正常。谢谢！
16,请问贵公司在阿拉善梦想公园与越野E族有何种战略协议？,"您好，2016 年 5 月 20 日，公司与越野一族（北京）投资管理有限公司及上海乡地艺客投资有限公司签订了《顾地科技股份有限公司与越野一族（北京）投资管理有限公司及上海乡地艺客投资有限公司之战略合作协议》，2017 年 1 月 18 日，公司与越野一族（北京）投资管理有限公司签订《顾地科技股份有限公司与越野一族（北京）投资管理有限公司战略合作协议之补充协
议》。谢谢！"
17,航空小镇建设项目运营情况如何？,您好，公司在该项目的运营工作正有序进行，热烈欢迎您于今年十一长假期间参加阿拉善英雄会活动，亲身体验活动的盛况。谢谢！
18,请问贵公司如何保护中小投资者的利益？贵公司在互动易上的回复基本停滞，请问董秘忙什么工作去了？,您好，截至4月25日，公司已及时关注投资者的问题，不足之处请您谅解。谢谢！
19,请问贵公司梦想文旅的盈利模式？,您好，请参阅类似问题的回复。谢谢！
20,公司今年业绩是否会大幅增长？,您好，关于公司今年业绩的问题请参考2018年财务预算报告。谢谢。
21,请问贾总，贵公司在阿拉善的布局还会正常推进吗？请问贵公司在阿拉善英雄会是什么关系？为什么越野一族不是贵公司的关联方？,您好，公司在阿拉善的布局正在有序推进。阿拉善英雄会是公司承办的一项大型体育赛事活动。公司与越野一族（北京）投资管理有限公司的非关联关系确定是依照法律法规确定的。谢谢。
22,预计第二季度公司经营业绩情况如何？,请参见公司已披露的《2018年一季度报告全文》，谢谢您的关注！
23,请问贾总，贵公司大股东山西盛农出现了质押危机，曾一度要转让公司股权，请问贵公司大股东如何保护中小投资者的利益？证监会对实际控制人任永青的立案进展如何？是否可以简单披露一下吗？,您好，一直以来公司依法依规保护全体投资者的合法利益。截至目前公司未接到监管机关就实际控制人立案的进一步信息，请您关注公司后续公告。谢谢。
24,请问公司与越野E族成立的控股子公司旗下有哪些授权赛事？这些赛事的盈利模式主要什么？,您好，公司在2017年已经成功举办了达喀尔中国拉力赛、第12届越野e族阿拉善英雄会、2017年昆仑峰会等多项大型体育赛事及综合性体育盛会。阿拉善英雄会接待国内外游客人次及参会车辆数百万台次，再创历史新高，成为国内极具影响力的户外体育旅游文化盛会。赛事活动的盈利来源包括场地出租、营地租赁、后勤保障、媒体合作、广告收入等多种方式。谢谢！
25,请问贵公司非公开发行还进行吗？,您好，截至目前非公开正在有序推进，请您关注后续相关公告。谢谢。
26,贵公司还会加大在体育赛事以及旅游的投资并购吗？请问贵公司的并购基金现如今进展如何？,您好，公司的体育赛事业务正在有序推进，同时，公司设立并购基金事项的进展情况请您关注公司后续相关公告。谢谢！
27,请问张总。体育赛事公司股权激励未达到条件，并且有大量人员离职，是不是运营出现了问题？,您好，截至目前，体育赛事公司的运营正常。谢谢！
28,请问董秘，贵公司与越野一族的合作能长期维持下去吗？一季度报最新显示越野一族投资管理公司已经减持了700多万股，请问是被动平仓？还是因为其他原因？,"您好，请参阅类似问题的回复。谢谢！
"
29,张振国所持3700万股有限售条件的流通股，限售条件是什么？何时能解禁？,您好，公司股东张振国持有的限售股为高管限售股，高管限售股解禁会依据法律法规规定解禁。谢谢！
30,大股东说要增持公司股份与大股东全部质押了股份，请问董秘，就你知道的信息，大股东有钱吗？何时能降低质押比例？,您好，按照相关规定，持有公司总股本5%以上的股东都属于大股东范围。股东质押其持有公司的股份属于其自身行为，在不属于法律法规要求的事项中，公司没有依据去干涉股东自身的财务行为。公司已经披露了公司控股股东增持公司股份的事项，请参阅相关公告。谢谢！
31,越野E族投资管理公司减持了公司股份，请问是被动减持吗？,您好，越野一族（北京）投资管理有限公司对其持有公司股份进行减持是其本身行为。谢谢！
