,Question,Answer
0,公司在2015年的员工持股计划因为相关规定的原因进行割肉处理，目前股价只有上次实行员工持股计划股价的四分之一，请问后续公司还会开展员工持股计划吗？,未来综合情况再来讨论和考虑，谢谢。
1,贵公司对3D打印的布局和展望分别是什么？,1、在3D打印应用领域，进一步聚焦3D打印人偶的发展方向，通过原创设计和整合开发，已开发出系列可动换脸、换头发、换衣服、换配饰的时尚潮流的Sa&Mo（砂糖小姐、摩卡先生）系列人偶，今后将通过线上云平台和线下合作的无人零售终端实现销售。3D打印云工厂团队通过人偶的开发和生产，逐步总结出一套能为IP方提供快速生产的柔性化生产线，为3D打印在IP衍生品的生产应用打开一条通路。2、教育行业的3D打印创客教室的解决方案继续稳步推进。
2,您好！你是第十三届新财富金牌董秘，在多个公司呆过，金运激光呆的时间最长，工资却不是很高。请问该公司吸引你的地方是什么？请问你持有贵公司股票吗？,非常感谢您对我个人的关注。今天是2017年年报说明会，我就相关问题回复您：未持有公司股票。谢谢。
3,公司提出的金运+是中国首个数字化技术创新应用生态系统，能否具体解释一下这个系统的具体内涵，能否举个例子来详细说明一下，谢谢,概要地说，数字化技术是素材、创新应用是将素材做成产品产生价值的结果、生态系统是围绕素材及过程和结果涉及到的相关方共同组成的有机组合，类同其他生态系统的基本意义。谢谢。
4,请问今年打算花多钱做新业务呢？,您好！公司会根据经营计划和年度预算优化资源配置，发展公司各项业务。谢谢！
5,你们有什么技术优势吗？,关于公司构建的技术在2017年年报中都有表述，我司主要是将这些数字化技术通过应用商业化，为传统产业或者企业转型升级提供解决方案。谢谢。
6,你们在行业里好像也没什么优势啊，有没有转行的打算？,公司坚定围绕“数字技术商业化应用解决方案云平台”的战略发展规划。截至目前，公司“高端数字激光装备制造”及“三维数字技术商业化应用”两大板块的业务，其业务方向明确、资产精简有效，为加强内生快速发展做了较为全面和充分的布局准备，并有利于围绕业务主线针对性地做有协同效应的外延并购扩展。谢谢。
7,请问金块链公司向公司采购设备是一次性还是长期合作,金块链是购货方之一，其需求依据其需要，供需决定设备销量，市场化原则。谢谢。
8,公司开发无人零售终端是为了弥补主业的不足吗？你们在这方面有优势吗？毕竟很多大电商也做这个。,无人零售终端，是公司新业务板块提供聚焦到IP商业化变现解决方案中的硬件内容部分。在做智能硬件上，公司有做设备的长期技术和经验，且能在硬件中融入数字技术的多样形式。谢谢。
9,您好！公司主要是利用长期构建的三维数字互动、三维全息、AR/VR、3D打印、人工智能、大数据等技术做商业化的应用，以期实现技术的价值。感觉公司涉足的领域这么多，作为一个十几亿市值的创业板公司说实话真是很不容易，请问能否在三维数字互动、三维全息、AR/VR、3D打印、人工智能、大数据等每个领域举一个商业化应用的例子？让我们投资者放心，也更深入了解一下公司。,以上所提到的数字化技术，可以单独或者组合应用到相关的产品中，由产品需求来决定，所以，我们提供的是解决方案，系数字技术应用的解决方案，具体在硬件、软件、内容及服务上体现。我们试水过不同应用方向的项目，在公司近年的定期报告中都有体现。经过长期的探索，现在聚焦到IP商业化变现解决方案。谢谢。
10,公司的业绩很差，请问目前是处于转型阶段吗?今后的业绩主要着重什么方面?,公司主营业务分为高端数字激光装备制造业务板块和三维数字化技术应用新业务板块，后者是公司新的利润增长点，也是力争加大发展的。谢谢。
11,公司前段时间在德国和澳大利亚都参加了展会，展会上有订单没？如有，有多少,公司前期参加的展会有意向客户，具体订单事宜还在洽谈中。
12,公司一月份向金块链公司出售体验式智能无人零售终端200台，金块链公司是1月份由金运激光实际控制人梁伟成立的新公司，请问公司是否准备加大向无人零售转型，目前无人零售的技术储备和技术人员是什么情况，麻烦请详细说明一下，谢谢,公司并非向无人零售转型。  公司的技术储备及人员情况，至2017年止，在年度报告相关章节有表述，烦请查阅。谢谢。
13,公司上市以来已经两次收购失败，一次增发失败，是创业板企业少有的没有并购没有增发的企业，而且目前市值这么低，业绩也不好，请问公司最近有并购计划吗？实际控制人梁伟还在参与公司的具体工作吗？有没有考虑引进战略伙伴？,公司需要利用并购外延，具体要结合公司实际开展，其进展将依据实时结合信息披露规定做公告。梁伟先生在公司担任公司营运顾问、数字化新兴业务开发中心总监。考虑引进与公司有共同发展理念和有协同发展效率的战略伙伴。
14,请问公司业绩上市以来一直不大好，现在是否处于转型期，今后业绩提升的重点在哪些领域,公司主营业务分为高端数字激光装备制造业务板块和三维数字化技术应用新业务板块，后者是公司新的利润增长点，也是力争加大发展的。谢谢。
15,公司通过原创设计和整合开发，已开发出系列可动换脸、换头发、换衣服、换配饰的时尚潮流的Sa&Mo（砂糖小姐、摩卡先生）系列人偶，请问这些人偶的目标客户是谁？是针对普通消费者吗？还是针对企业进行私人订制？,主要是针对IP感兴趣的群体，90后和00后为集中人群。谢谢。
16,李教授您好！以你专业的角度来看，在国家空前重视科技兴国的战略背景下，金运激光在技术上有什么优势和潜力？,公司主要是利用长期构建的三维数字互动、三维全息、AR/VR、3D打印、人工智能、大数据等技术做商业化的应用，以期实现技术的价值。在新业务上，经过近四年的积淀和探索，不断聚焦应用行业，在前期探索的IP及衍生品行业，已总结出一套较为完善的为IP及衍生品提供商业化变现解决方案，逐步开始为影视、动漫、游戏行业的IP方或发行推广方提供相应的服务。谢谢。
17,公司今后的利润增长点是在无人零售方面吗？,公司主营业务分为高端数字激光装备制造业务板块和三维数字化技术应用新业务板块，后者是公司新的利润增长点，也是力争加大发展的。谢谢。
18,请问公司的3D打印发展前景？,1、在3D打印应用领域，进一步聚焦3D打印人偶的发展方向，通过原创设计和整合开发，已开发出系列可动换脸、换头发、换衣服、换配饰的时尚潮流的Sa&Mo（砂糖小姐、摩卡先生）系列人偶，今后将通过线上云平台和线下合作的无人零售终端实现销售。3D打印云工厂团队通过人偶的开发和生产，逐步总结出一套能为IP方提供快速生产的柔性化生产线，为3D打印在IP衍生品的生产应用打开一条通路。2、教育行业的3D打印创客教室的解决方案继续稳步推进。
