,Question,Answer
0,您好，想请问为何在“煤改气”的背景下，公司营业增长没有表现出同行业的水平？,"您好，基于公司研发战略方向，我公司在NB-IoT、云平台等研发、建设和推广方面不断开展新技术应用，并与电信、移动、联通和燃气公司等签订战略合作协议。在上海进行了首台基于最新的NB-IoT技术的智能燃气表的试挂、在湖北武钢华润建成了湖北省首个NB-IoT智慧社区，积极推进和开展在全国的新品试挂工作，为未来的新产品推广做好准备。谢谢！
"
1,您好，想请问为何在“煤改气”的背景下，公司营业增长没有表现出同行业的水平？,"您好，基于公司研发战略方向，我公司在NB-IoT、云平台等研发、建设和推广方面不断开展新技术应用，并与电信、移动、联通和燃气公司等签订战略合作协议。在上海进行了首台基于最新的NB-IoT技术的智能燃气表的试挂、在湖北武钢华润建成了湖北省首个NB-IoT智慧社区，积极推进和开展在全国的新品试挂工作，为未来的新产品推广做好准备。谢谢！
"
2,董秘您好，想咨询一个问题，公司IPO说明书当时公司产能大概在100万左右，而目前募集项目由于政府问题导致一直没能跟上进度，但2017年报公司生产量已经达到153万台，未来如果募集项目完成，预计公司产能可能达到多少？,"您好，“智能燃气表建设项目”规划与进展详情请参考《2017年年度报告》中“第四节 经营讨论与分析  ”的“募集资金使用情况”。谢谢。
"
3,公司预计2018年的业绩驱动力是什么？,"您好。2018年，公司将继续围绕主营业务上下游及横向产业链进行规划性布局及深度延伸，对仪器仪表行业进行深耕，以资本为主要驱动力进行产业布局，同时发挥公司在研发和市场上的优势，扩大主营业务规模。内部在自动化、信息化、新产品、新技术应用方面加大投入，降低成本，提高竞争力。为股东创造价值。 谢谢。
"
4,公司发展今年有何有利因素，不利因素?,"您好，智能燃气仪表行业受智慧城市、煤改气、燃气客户降本增效、终端用户生活品质提升等方面的影响，未来的发展前景和潜力依然巨大。随着智能燃气和物联网技术不断融合发展，燃气仪表的智慧化成为必然趋势。2018年，公司将继续围绕主营业务上下游及横向产业链进行规划性布局及深度延伸，对仪器仪表行业进行深耕，以资本为主要驱动力进行产业布局，同时发挥公司在研发和市场上的优势，扩大主营业务规模。内部在自动化、信息化、新产品、新技术应用方面加大投入，降低成本，提高竞争力。为股东创造价值。 谢谢！ 
"
5,公司的哪些产品用于出口？主要出口哪些国家,您好，公司目前未有出口产品。谢谢。
6,您好，在煤改气加速发展的行业背景下，公司是否有营销战略打破目前格局呢？,您好，智能燃气仪表行业受智慧城市、煤改气、燃气客户降本增效、终端用户生活品质提升等方面的影响，未来的发展前景和潜力依然巨大。随着智能燃气和物联网技术不断融合发展，燃气仪表的智慧化成为必然趋势。2018年，公司将继续围绕主营业务上下游及横向产业链进行规划性布局及深度延伸，对仪器仪表行业进行深耕，以资本为主要驱动力进行产业布局，同时发挥公司在研发和市场上的优势，扩大主营业务规模。内部在自动化、信息化、新产品、新技术应用方面加大投入，降低成本，提高竞争力。为股东创造价值。 谢谢！
7,您好，在煤改气加速发展的行业背景下，公司是否有营销战略打破目前格局呢？,"您好，智能燃气仪表行业受智慧城市、煤改气、燃气客户降本增效、终端用户生活品质提升等方面的影响，未来的发展前景和潜力依然巨大。随着智能燃气和物联网技术不断融合发展，燃气仪表的智慧化成为必然趋势。2018年，公司将继续围绕主营业务上下游及横向产业链进行规划性布局及深度延伸，对仪器仪表行业进行深耕，以资本为主要驱动力进行产业布局，同时发挥公司在研发和市场上的优势，扩大主营业务规模。内部在自动化、信息化、新产品、新技术应用方面加大投入，降低成本，提高竞争力。为股东创造价值。 谢谢！ 
"
8,相对同行业，公司的产品最吸引客户的优势是什么,"您好，主要优势有：1.产品质量优势。公司全员质量意识强，行业经验丰富，产品综合故障率低（全年在线产品综合故障率低于千分之二），产品整体稳定性可靠性强，伴随着自动化软硬件的不断投入和应用、产品质量追溯系统的全面推广以及质量管理体系向上游供应链的延伸，公司产品质量未来将得到进一步的提升。公司在2017年全国质量月活动中荣获“全国燃气表行业质量领军企业”、“全国质量诚信标杆典型企业”的称号。
2.服务优势。公司重视自身信誉和客户关系的长期稳定，结合公司20余年在燃气仪表领域的实战经验，能够把握客户需求，提供符合客户特质的产品解决方案。公司建立了覆盖全国的工程服务网络，可提供快速的售前、售中和售后服务，具备服务覆盖面广、服务团队力量强的专业优势。深耕区域市场，扩大市场份额，提升客户满意度。同时为满足物联网智能燃气表的服务需求，公司从售前到售后进行统一管理，提升客户响应速度和对客户需求的准确掌握。谢谢。
"
9,请问公司今年业绩是否会有大的提升？,"您好，关于公司年度业绩预测，公司将严格遵守《公司法》、《证券法》、《深圳证券交易所股票上市规则》等有关法律法规、规范性文件以及公司制度的规定，认真履行信息披露义务，请关注后续披露的业绩预告和定期报告。谢谢。
"
