,Question,Answer
0,17年玉米计划制种面积与去年相比，变化幅度在多少,您好！今年计划制种面积有一定增长，但因基地正在陆续落实和确认，数据还在统计中。谢谢！
1,公司去年主打产品的销量是多少？,"您好！公司去年玉米种子的销售价值量15.47亿元,谢谢！"
2,请问公司的分配预案达到承诺的分红比例吗？,您好！公司的分配预案达到了分红比例，谢谢！
3,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,您好，2016年，公司在北方区实现营业收入13.82亿元，同比增长3.77%，南方区实现营业收入2.21亿元，同比增长10.85%，谢谢！
4,公司募投项目，预期如何？,您好！公司目前没有募投项目，谢谢！
5,公司是否会计划多元化发展？,您好！公司会根据发展的需要考虑多元化规模发展，谢谢！
6,请问老总， 2016年存货是多少，存货增加的内容是哪些？,您好，2016年年末的存货为6.97亿元，存货主要为玉米杂交种，谢谢！
7,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,您好！公司目前没有进入新的细分市场，但随着国家政策和市场需求的变化，不排除这种可能性。谢谢！
8,公司今年有没有新产品和新业务拓展？,您好，今年公司有18个新品种通过初审，待农业部正式确定后，公司对新品种将相机进行示范销售，谢谢！
9,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,您好！今年由于会计年度牵涉两个销售季，市场不确定性因素较多，销售目标尚未确定，谢谢！ 
10,公司截至目前为止都有哪些子公司和参股公司？,您好，公司截至2016年年报共有19家子公司。详见年报附注七在其他主体中的权益。参股公司为北京爱种网。谢谢！
11,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,您好！公司的研发机构是以登海种业高科技研究院为主体的。未来产品的研发与创新坚持以市场为导向的原则进行，谢谢！
12,能简单的介绍下新项目的情况吗？,您好，新项目尚处于保密阶段，谢谢！
13,公司未来五年的目标是多少？能够实现吗？,您好！公司未来5年玉米杂交种市场占有率达到全国种植面积的20%。公司将依靠自主研发创新能力来实现。谢谢！
14,公司截止至今的产品有多少个种类？,您好，目前公司的产品主要为玉米种、蔬菜种和小麦种，谢谢！
15,今年春波玉米的面积和去年同比，变化幅度在多少,您好！公司尚未见到政府农业主管部门对今年东华北春播区面积变化数据的说明，谢谢！
16,公司的前5大客户是哪些？,您好，公司的前五大客户为销售客户。谢谢！
17,公司的前5名供应商是什么，与公司存不存在关联关系？,您好，公司的前五名供应商主要为经营性供应商，与公司不存在关联关系。谢谢！
18,请问今年预计主要产品的销售目标是多少？净利润是多少？,您好！今年由于会计年度牵涉两个销售季，市场不确定性因素较多，销售目标尚未确定，谢谢！
19,请问开完股东会后，如果送股通过几日内会送股？,您好，今年不送红股，只做现金分红，谢谢！
20,请问公司公司的核心竞争力是什么？,您好，自主研发创新能力是公司的核心竞争力，谢谢！
21,公司生产经营的季节性如何?哪个季节是旺季?,您好，公司的营业收入和营业利润相对集中在当年11－12月份及次年1－6月份实现。
22,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,您好！公司目前尚未有实行股权激励的计划。谢谢！
23,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,根据国家农业供给则结构性改革的要求，积极应对种业发展变革的新趋势，依靠科技创新，大力发展玉米杂交种产业，开拓小麦、水稻、大豆等农作物种子产业发展新局面，进一步提升登海种业规模化发展水平。
24,请问老总公司今年净利润同比增长多少？,您好！今年玉米种子市场不确定因素较多，17年实现净利润还不能大体预计，请理解，谢谢！
25,公司截止目前的股东总人数是多少？,截止2017年4月14日，公司股东总人数是49632户。
26,公司今年的财务费用会有多少？,您好，公司今年无贷款或其他融资计划，相应的财务费用不会有太大变化。谢谢！
27,到目前为止，主打玉米品种登海系列的市场占有率和2016相比，是上升还是下降,您好！截至目前为止登海系列品种与上一个销售季相比基本持平，谢谢！
28,我是公司的一名小股东，请问我想现场参加股东大会，不知道应该怎么做？需要什么样的程序？,"您好，首先欢迎您参加公司股东大会。有关参会的要求请关注公司2017年4月26日在巨潮资讯网（http://www.cninfo.com.cn）上发布的《关于召开2016年度股东大会的通知》,谢谢关注！"
29,公司在税收方面有没有相关的优惠政策？具体税率是多少？,"您好：公司在税收方面的优惠政策
减免税及优惠税率批文
(1) 增值税
根据《财政部、国家税务总局关于农业生产资料征免增值税政策的通知》（财税[2001]113号）以及国家税务总局《关于制种行业增值税有关问题的公告》（国家税务总局公告2010年第17号）规定，本公司及所属控股子公司批发和销售种子、种苗产品，享受免征增值税政策。
(2) 企业所得税
根据《中华人民共和国企业所得税法》第二十七条和《中华人民共和国企业所得税法实施条例》第八十六条的相关规定，从事农、林、牧、渔业项目的所得免征企业所得税；从事花卉、茶以及其他饮料作物和香料作物的种植所得减半征收企业所得税。本公司及符合条件的控股子公司从事玉米新品种繁育种植业务所得，免征企业所得税；从事花卉繁育和种植业务所得，减半征收企业所得税。
"
30,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,您好！玉米种子行业正处于转型期，市场存在很多不确定因素，尚不能预测全年业绩比上年同期是上升还是下降，请理解，谢谢！
31,公司用35亿资金进行理财，为啥不选择增持,您好！根据《公司法》和《证券法》的要求，上市公司不能增持自己的股票。谢谢！
32,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好！公司暂无发行债券的计划，并购基金还无具体计划，但我们会对这一形式保持关注并采取相应行动。
33,请问四月15日股东人数？,"您好！49632户。谢谢！
"
